full_table_name,project_name,table_name,field_count,table_type,is_partitioned,description,meta_status,dict_status
dwt.dwt_heavy_order_df,dwt,dwt_heavy_order_df,96,PHYSICAL_VIEW,False,重资产订单粒度宽表,success,success
cdmx.cdmx_dim_credit_account_df,cdmx,cdmx_dim_credit_account_df,12,PHYSICAL_TABLE,True,账户维表,success,success
cdmx.cdmx_fct_heavy_stage_plan_df,cdmx,cdmx_fct_heavy_stage_plan_df,52,PHYSICAL_TABLE,True,重资产分期计划,success,success
ods_pdw_loan.ods_pdw_loan_dstradeali_debitaccountengine_trans_journal_df,ods_pdw_loan,ods_pdw_loan_dstradeali_debitaccountengine_trans_journal_df,27,PHYSICAL_VIEW,False,交易流水表,success,success
dp_ods_credit_sec_views.ods_loan_oss_lattebank_creditdata_incr_prod_bairong_apply_loan_strategy_di,dp_ods_credit_sec_views,ods_loan_oss_lattebank_creditdata_incr_prod_bairong_apply_loan_strategy_di,18,PHYSICAL_VIEW,False,,success,missing
dp_ods_credit_sec_views.ods_loan_oss_lattebank_creditdata_incr_prod_bairong_apply_loan_str_v2_di,dp_ods_credit_sec_views,ods_loan_oss_lattebank_creditdata_incr_prod_bairong_apply_loan_str_v2_di,19,PHYSICAL_VIEW,False,,success,missing
dbus.dbus_dz_daily_br_trend_feature_v3_base_di,dbus,dbus_dz_daily_br_trend_feature_v3_base_di,31,PHYSICAL_VIEW,False,,success,missing
ods_pdw_loan.ods_pdw_loan_oss_lattebank_client_collect_applist_di,ods_pdw_loan,ods_pdw_loan_oss_lattebank_client_collect_applist_di,11,PHYSICAL_VIEW,False,客户端收集应用列表明细表,success,success
cdmx.cdmx_fct_light_loan_order_df,cdmx,cdmx_fct_light_loan_order_df,37,PHYSICAL_TABLE,True,轻资产放款记录(订单),success,success
cdmx.cdmx_fct_light_diversion_record_di,cdmx,cdmx_fct_light_diversion_record_di,14,PHYSICAL_TABLE,True,轻资产导流记录表,success,success
ods_pdw_loan.ods_pdw_loan_dsrepayali_repayengine_repay_apply_stage_plan_item_di,ods_pdw_loan,ods_pdw_loan_dsrepayali_repayengine_repay_apply_stage_plan_item_di,13,PHYSICAL_VIEW,False,还款交易分期表,success,success
ods_pdw_loan.ods_pdw_loan_dsrepayali_repayengine_repay_apply_df,ods_pdw_loan,ods_pdw_loan_dsrepayali_repayengine_repay_apply_df,25,PHYSICAL_VIEW,False,还款交易表,success,success
pdw_manual.pdw_manual_applist_category_202303_v3,pdw_manual,pdw_manual_applist_category_202303_v3,7,PHYSICAL_TABLE,False,,success,missing
cdmx.etl_cdmx_fct_light_stage_plan_df,cdmx,etl_cdmx_fct_light_stage_plan_df,52,PHYSICAL_TABLE,True,轻资产分期计划记录(分期),success,success
dwt.dwt_collection_call_record_detail_di,dwt,dwt_collection_call_record_detail_di,52,PHYSICAL_TABLE,True,催收外呼记录宽表,success,success
dwa.dwa_f_user_register_apply_info_df,dwa,dwa_f_user_register_apply_info_df,65,PHYSICAL_TABLE,True,用户注册申请信息表,success,success
cdmx.cdmx_fct_heavy_loancore_repayment_di,cdmx,cdmx_fct_heavy_loancore_repayment_di,30,PHYSICAL_TABLE,True,重资产还款流水记录,success,success
